V_actual,OMEGA_actual,V_ref,OMEGA_ref
0.19959307416583924,-0.0007283058761033292,0.2,0.0
0.19978148499750162,-0.00017103136460709325,0.2,0.0
0.20002591283090645,-0.0005481519542392609,0.2,0.0
0.20022499030839302,-0.00044470355579543465,0.2,0.0
0.1996741044531887,0.004048378665458021,0.2,0.0
0.19991270866655356,0.0021949368817901355,0.2,0.0
0.19979288281200866,0.00015606042127233098,0.2,0.0
0.19991154253955926,-0.0005037126106941102,0.2,0.0
0.2001383155733229,-0.0005734143860509156,0.2,0.0
0.2001952116575246,0.00024257838940392127,0.2,0.0
0.19979742586856516,0.0022778007608775393,0.2,0.0
0.19981046952609993,0.00046871251379137694,0.2,0.0
0.19993691004670067,-0.00045937377540409424,0.2,0.0
0.20009564929545465,-0.0005696379659140299,0.2,0.0
0.20016550114634665,0.0005716185098037537,0.2,0.0
0.19879369153171653,0.009590106990101386,0.2,0.0
0.199701093444107,3.177214124957569e-05,0.2,0.0
0.19984197766383063,-0.00045819701567567097,0.2,0.0
0.2000514061662601,-0.0005589309796942514,0.2,0.0
0.20022370899625874,-0.00031790041315201014,0.0,-0.3141592653589793
0.14364704679525353,-0.17248116245778536,0.0,-0.3141592653589793
0.09688915265949816,-0.37776097311730156,0.0,-0.3141592653589793
0.05548761544553348,-0.6560293316419399,0.0,-0.3141592653589793
0.04438627897970529,-0.5839136541328251,0.0,-0.3141592653589793
0.0336504788628511,-0.513863917420436,0.0,-0.3141592653589793
0.0101115182739577,-0.3601867151278377,0.0,-0.3141592653589793
0.002646076250269814,-0.31216382897872047,0.0,-0.3141592653589793
0.002605501928454248,-0.3122348629482748,0.0,-0.3141592653589793
0.00259588611985246,-0.3124314811759795,0.0,-0.3141592653589793
0.0025938071113292766,-0.31267511602172554,0.0,-0.3141592653589793
0.0025972805789255056,-0.3129106426134426,0.0,-0.3141592653589793
0.002604140741518446,-0.3131555525346098,0.0,-0.3141592653589793
0.0026151787592077888,-0.31339670465847375,0.0,-0.3141592653589793
0.0026371953356261837,-0.3135954960262476,0.0,-0.3141592653589793
0.002702091853681001,-0.31369087852316657,0.0,-0.3141592653589793
0.0027398565782141043,-0.31371089929294477,0.0,-0.3141592653589793
0.0028063504019559676,-0.3136846390409375,0.0,-0.3141592653589793
0.0029621045023280252,-0.3130022971924452,0.0,-0.3141592653589793
0.0049165483297932515,-0.2989562621409208,0.0,-0.3141592653589793
0.0030557261952958055,-0.31320623034059164,0.0,-0.3141592653589793
0.0030674655582455523,-0.31329167895641813,0.0,-0.3141592653589793
0.003093177149990123,-0.3130251975558522,0.0,-0.3141592653589793
0.0030827132563161132,-0.31287647332856383,0.0,-0.3141592653589793
0.003012914402570104,-0.31262923150790517,0.0,-0.3141592653589793
0.0029617709502673156,-0.3124765741156772,0.0,-0.3141592653589793
0.0019840326884252163,-0.30644748474858596,0.0,-0.3141592653589793
0.0004695478082033239,-0.2906497501081297,0.0,-0.3141592653589793
0.002242904132203047,-0.30883591341059013,0.0,-0.3141592653589793
0.0026837120964124115,-0.31210418622049735,0.0,-0.3141592653589793
0.0026502244385925608,-0.3121205261781003,0.0,-0.3141592653589793
0.0026068505421702345,-0.31226170377127377,0.0,-0.3141592653589793
0.002602136435620918,-0.3124729227638466,0.0,-0.3141592653589793
0.002604823772518433,-0.3126356861006187,0.0,-0.3141592653589793
0.002610116387166399,-0.3129698373301871,0.0,-0.3141592653589793
0.0026148860784590716,-0.3131376502509898,0.0,-0.3141592653589793
0.002630053095796601,-0.31346892002324916,0.0,-0.3141592653589793
0.0026467468091412928,-0.3135907404726901,0.0,-0.3141592653589793
0.002692635373457242,-0.3136749498492743,0.0,-0.3141592653589793
0.002747438414151681,-0.31371599623008223,0.0,-0.3141592653589793
0.0028127136805555747,-0.31368796543941124,0.0,-0.3141592653589793
0.0033319969300558165,-0.31035401226051107,0.0,-0.3141592653589793
0.005516195186066739,-0.29461582893327437,0.0,-0.3141592653589793
0.002974598178138411,-0.3139252079049503,0.0,-0.3141592653589793
0.003080844932267321,-0.31332594335066194,0.0,-0.3141592653589793
0.0031115067155547617,-0.31316094948120893,0.0,-0.3141592653589793
0.0030866912465083956,-0.31286772856854117,0.0,-0.3141592653589793
0.0030350289333768974,-0.3127106066899712,0.0,-0.3141592653589793
0.0029925742741971433,-0.31260703267594664,0.0,-0.3141592653589793
0.0028860670429313048,-0.31222232791784477,0.0,-0.3141592653589793
0.0012888464460583588,-0.3020554392444336,0.0,0.0
0.003954422859025962,-0.024392009585460315,0.0,0.0
7.67322023842576e-06,0.0013560476102972392,0.0,0.0
2.075883283414143e-05,0.0011421839887431882,0.0,0.0
4.269993066323018e-05,0.0009974681785338997,0.0,0.0
5.1314424280384064e-05,0.000942952968879903,0.0,0.0
4.781764039947362e-05,0.00096725637782109,0.0,0.0
4.6113417164269854e-05,0.0009800348674798033,0.0,0.0
4.5038915758542874e-05,0.000988193966399749,0.0,0.0
4.6039312836365595e-05,0.0009828137879795628,0.0,0.0
4.634743737181487e-05,0.0009813922589037044,0.2,0.0
0.0348398580825933,0.21388962762141522,0.2,0.0
0.06456171251768662,0.022957461282798897,0.2,0.0
0.12126470639301663,-0.1554442570651911,0.2,0.0
0.19186687505375746,-0.060600449225367836,0.2,0.0
0.20019126174855797,-7.881790832208483e-05,0.2,0.0
0.1988161752856677,0.009607629645042989,0.2,0.0
0.19972680887301225,6.0881132903201704e-05,0.2,0.0
0.1998347492548096,-0.0005237665200363433,0.2,0.0
0.20011588974047184,-0.0006916873193992808,0.2,0.0
0.20020524968775882,-0.0004022187260970927,0.2,0.0
0.19891821374626736,0.009427925244516161,0.2,0.0
0.19985571892391618,0.0011981394175360788,0.2,0.0
0.19980892308136367,-0.0004099695502366359,0.2,0.0
